,brand,variant,kilometers,fuel,numbeer of owners,location,Sale Price
124,2020 Maruti New Wagon-R VXI 1.2L MANUAL,DL-9C,"10,657 km",Petrol,2nd Owner,New_Delhi,"₹5,61,299
₹5,33,599"
125,2010 Hyundai i10 MAGNA 1.2 MANUAL,DL-3C,"47,074 km",Petrol,1st Owner,New_Delhi,"₹2,08,899
₹1,98,099"
126,2014 Hyundai Eon ERA PLUS MANUAL,DL-3C,"28,658 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,74,499"
127,2022 Honda Amaze 1.2 VXMT I VTEC MANUAL,DL-9C,"3,031 km",Petrol,1st Owner,New_Delhi,"₹9,45,599
₹9,15,799"
128,2020 MG HECTOR SHARP DCT PETROL AUTOMATIC,UP-65,"26,950 km",Petrol,2nd Owner,New_Delhi,"₹17,49,399
₹16,03,399"
129,2019 Renault Kwid 1.0 CLIMBER OPT MANUAL,DL-7C,"4,677 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹4,30,799"
130,2018 Volkswagen Polo COMFORTLINE 1.2L PETROL MANUAL,DL-10,"92,239 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹4,61,899"
131,2019 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT MANUAL,HR-29,"20,969 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,07,099"
132,2012 Maruti Alto 800 LXI MANUAL,HR-72,"86,123 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,07,799"
133,2020 Maruti New Wagon-R VXI 1.0 MANUAL,UP-14,"7,090 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,53,599"
134,2019 Jeep Compass 1.4 LONGITUDE (O) AT AUTOMATIC,DL-3C,"23,525 km",Petrol,1st Owner,New_Delhi,"₹20,12,799
₹19,22,799"
135,2015 Maruti Swift LXI MANUAL,DL-14,"33,684 km",Petrol,2nd Owner,New_Delhi,"₹4,19,699
₹4,00,299"
136,2022 Maruti Swift VXI MANUAL,DL-5C,"7,638 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹6,90,499"
137,2020 KIA SONET GTX PLUS DCT 1.0,DL-10,"11,734 km",Petrol,1st Owner,New_Delhi,"₹13,88,999
₹13,29,899"
138,2020 Mahindra XUV500 W5 MANUAL,UP-14,"19,365 km",Diesel,1st Owner,New_Delhi,"₹13,32,399
₹12,21,399"
139,2019 Maruti New Wagon-R 1.0 VXI (O) MANUAL,UP-14,"25,691 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,31,399"
